epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
116,50.251,1.92245,1.75411,0.72538,0.49461,0.32502,0.3925,0.18907,1.71639,1.38662,0.71769,0.000615542,0.000615542,0.000615542
117,50.653,1.81433,1.54968,0.73979,0.49461,0.32502,0.3925,0.18907,1.71639,1.38662,0.71769,0.000608468,0.000608468,0.000608468
118,51.0982,1.85883,1.71254,0.74308,0.55171,0.29375,0.3996,0.19611,1.64432,1.33585,0.71629,0.000601395,0.000601395,0.000601395
119,51.4717,1.7809,1.52777,0.75133,0.55171,0.29375,0.3996,0.19611,1.64432,1.33585,0.71629,0.000594321,0.000594321,0.000594321
120,51.8703,1.90898,1.68886,0.72504,0.55171,0.29375,0.3996,0.19611,1.64432,1.33585,0.71629,0.000587248,0.000587248,0.000587248
121,52.2588,1.90308,1.60583,0.73871,0.55171,0.29375,0.3996,0.19611,1.64432,1.33585,0.71629,0.000580174,0.000580174,0.000580174
122,52.7487,1.77935,1.55554,0.74478,0.58086,0.29653,0.41064,0.2044,1.62556,1.31653,0.71624,0.0005731,0.0005731,0.0005731
123,53.1424,2.04778,2.07641,0.69744,0.58086,0.29653,0.41064,0.2044,1.62556,1.31653,0.71624,0.000566027,0.000566027,0.000566027
124,53.5808,1.75109,1.50877,0.75167,0.58086,0.29653,0.41064,0.2044,1.62556,1.31653,0.71624,0.000558953,0.000558953,0.000558953
125,53.9644,1.91486,1.79798,0.71324,0.58086,0.29653,0.41064,0.2044,1.62556,1.31653,0.71624,0.00055188,0.00055188,0.00055188
126,54.3659,1.95107,1.76459,0.72202,0.6044,0.29303,0.41629,0.2028,1.77013,1.35532,0.71578,0.000544806,0.000544806,0.000544806
127,54.7475,1.97339,1.7285,0.72226,0.6044,0.29303,0.41629,0.2028,1.77013,1.35532,0.71578,0.000537733,0.000537733,0.000537733
128,55.1177,1.84905,1.43475,0.72294,0.6044,0.29303,0.41629,0.2028,1.77013,1.35532,0.71578,0.000530659,0.000530659,0.000530659
129,55.5028,1.73215,1.31256,0.75253,0.6044,0.29303,0.41629,0.2028,1.77013,1.35532,0.71578,0.000523586,0.000523586,0.000523586
130,55.8898,1.73637,1.4912,0.75877,0.64823,0.29931,0.42567,0.20661,1.73667,1.34183,0.71681,0.000516512,0.000516512,0.000516512
131,56.2856,1.72803,1.34157,0.73886,0.64823,0.29931,0.42567,0.20661,1.73667,1.34183,0.71681,0.000509438,0.000509438,0.000509438
132,56.7079,1.74106,1.48196,0.74748,0.64823,0.29931,0.42567,0.20661,1.73667,1.34183,0.71681,0.000502365,0.000502365,0.000502365
